uf_code,uf_name,mesoregion_code,mesoregion_name,microregion_code,microregion_name,city_code,city_complete_code,city_name
15,PA,4,Nordeste Paraense,9,Salgado,2608,1502608,COLARES
15,PA,6,Sudeste Paraense,22,Conceição do Araguaia,2707,1502707,CONCEIÇÃO DO ARAGUAIA
15,PA,4,Nordeste Paraense,12,Tomé-Açu,2756,1502756,CONCÓRDIA DO PARÁ
15,PA,6,Sudeste Paraense,18,São Félix do Xingu,2764,1502764,CUMARU DO NORTE
15,PA,6,Sudeste Paraense,19,Parauapebas,2772,1502772,CURIONÓPOLIS
15,PA,2,Marajó,5,Furos de Breves,2806,1502806,CURRALINHO
15,PA,1,Baixo Amazonas,2,Santarém,2855,1502855,CURUÁ
15,PA,4,Nordeste Paraense,9,Salgado,2905,1502905,CURUÇÁ
15,PA,6,Sudeste Paraense,17,Paragominas,2939,1502939,DOM ELISEU
15,PA,6,Sudeste Paraense,19,Parauapebas,2954,1502954,ELDORADO DO CARAJÁS
15,PA,1,Baixo Amazonas,1,Óbidos,3002,1503002,FARO
15,PA,6,Sudeste Paraense,22,Conceição do Araguaia,3044,1503044,FLORESTA DO ARAGUAIA
15,PA,4,Nordeste Paraense,13,Guamá,3077,1503077,GARRAFÃO DO NORTE
15,PA,6,Sudeste Paraense,17,Paragominas,3093,1503093,GOIANÉSIA DO PARÁ
15,PA,2,Marajó,4,Portel,3101,1503101,GURUPÁ
15,PA,4,Nordeste Paraense,10,Bragantina,3200,1503200,IGARAPÉ-AÇU
15,PA,4,Nordeste Paraense,11,Cametá,3309,1503309,IGARAPÉ-MIRI
15,PA,3,Metropolitana de Belém,8,Castanhal,3408,1503408,INHANGAPI
15,PA,4,Nordeste Paraense,13,Guamá,3457,1503457,IPIXUNA DO PARÁ
15,PA,4,Nordeste Paraense,13,Guamá,3507,1503507,IRITUIA
15,PA,5,Sudoeste Paraense,14,Itaituba,3606,1503606,ITAITUBA
15,PA,6,Sudeste Paraense,16,Tucuruí,3705,1503705,ITUPIRANGA
15,PA,5,Sudoeste Paraense,14,Itaituba,3754,1503754,JACAREACANGA
15,PA,6,Sudeste Paraense,16,Tucuruí,3804,1503804,JACUNDÁ
15,PA,1,Baixo Amazonas,1,Óbidos,3903,1503903,JURUTI
15,PA,4,Nordeste Paraense,11,Cametá,4000,1504000,LIMOEIRO DO AJURU
15,PA,4,Nordeste Paraense,13,Guamá,4059,1504059,MÃE DO RIO
15,PA,4,Nordeste Paraense,9,Salgado,4109,1504109,MAGALHÃES BARATA
15,PA,6,Sudeste Paraense,20,Marabá,4208,1504208,MARABÁ
15,PA,4,Nordeste Paraense,9,Salgado,4307,1504307,MARACANÃ
15,PA,4,Nordeste Paraense,9,Salgado,4406,1504406,MARAPANIM
15,PA,3,Metropolitana de Belém,7,Belém,4422,1504422,MARITUBA
15,PA,5,Sudoeste Paraense,15,Altamira,4455,1504455,MEDICILÂNDIA
15,PA,2,Marajó,4,Portel,4505,1504505,MELGAÇO
15,PA,4,Nordeste Paraense,11,Cametá,4604,1504604,MOCAJUBA
15,PA,4,Nordeste Paraense,12,Tomé-Açu,4703,1504703,MOJU
15,PA,1,Baixo Amazonas,2,Santarém,4752,1504752,MOJUÍ DOS CAMPOS
